,type,category,review,star,date,option,0,1,2
50,헤트라스,별점,향 좋긴 한데 저한텐 너무 쎈거같아요 ㅠ,평점3,22.06.28.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 허그솝 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 허그솝 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
51,헤트라스,별점,"발향이 엄청 약하네요.
가격만큼 합니다.",평점3,21.10.17.,대용량 디퓨저 수량 선택: 3개입 / 향 선택: 블랙체리 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 3개입 , 향 선택: 블랙체리 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
52,헤트라스,별점,생각했던 향은 아니지만 나쁘진 않아요!,평점3,22.07.31.,대용량 디퓨저 선택: 5개입 / 향 선택: 1. 블랙세트 5개입 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 5개입 , 향 선택: 1. 블랙세트 5개입 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
53,헤트라스,별점,"아 2번째구매인데 요번향은 잘못선택했네요ㅠ
리뷰보고 향선택했는데 싸구려 향수냄새같아서 구역질 나오네요",평점3,22.07.06.,수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
54,헤트라스,별점,냄새는 좋으나 3개중 1개는 질질새서옴,평점3,22.05.19.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 제주사려니숲길 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 제주사려니숲길 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
55,헤트라스,별점,북스토어랑 허그솝 정도만 취향이네요,평점3,22.08.31.,수량 선택: 5개입(블랙체리플라워샵그레이프북스토어허그솝) / 향 선택: 향 5종(블랙체리플라워샵그레이프북스토어허그솝) / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 5개입(블랙체리플라워샵그레이프북스토어허그솝) , 향 선택: 향 5종(블랙체리플라워샵그레이프북스토어허그솝) , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
56,헤트라스,별점,생각보다 지속기간이 짧아요. 향은 굿,평점3,21.09.25.,수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
57,헤트라스,별점,향도 과하지 않아 잘 사용하고 있어요,평점3,22.07.20.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 허그솝 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 허그솝 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
58,헤트라스,별점,양은 많으나 향이 많이 퍼지진않네요,평점3,22.01.31.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 제주사려니숲길 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 제주사려니숲길 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
59,헤트라스,별점,향이진하지도않고 은은하면서좋아요,평점3,22.02.08.,수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
